campaign_name,channel,impressions,ctr
Email Non-Openers Match,Retargeting,"363,226",1.26%
Online Video - Trail Series,Video,"3,330,589",0.65%
Native - Sponsored Guides,Display,"8,255,890",0.20%
Creative Test - Trail Crew POV,Paid Social,"42,365",5.86%
Dynamic Remarketing - Category,Retargeting,"677,161",1.41%
Contextual - Gear Reviews,Display,"10,529,312",0.16%
Engaged Audiences - 180d,Paid Social,"731,739",1.25%
Prospecting - Broad Interest,Paid Social,"20,900,712",0.43%
YouTube - In-Stream Skippable,Video,"11,563,765",0.20%
Programmatic - Open Exchange,Display,"27,103,140",0.07%
YouTube - Bumper Awareness,Video,"9,799,764",0.18%
Creative Test - Pack Fit Guide,Paid Social,"70,125",5.48%
Site Visitors 90d,Retargeting,"1,373,528",0.92%
Past Purchasers - Winter Restock,Retargeting,"347,674",1.72%
RLSA - Cart Abandoners 30d,Retargeting,"231,465",1.84%
Non-Brand - Trail Running,Paid Search,"624,407",3.61%
Dynamic Search Ads,Paid Search,"244,721",3.21%
Wishlist Abandoners,Retargeting,"179,194",2.26%
Creative Test - Gear Teardown,Paid Social,"34,875",7.40%
YouTube - Shorts Vertical,Video,"5,202,974",0.44%
Lookalike 3% - Add to Cart,Paid Social,"719,562",1.64%
Creative Test - Repair Promise,Paid Social,"86,598",5.46%
Non-Brand - Tents & Shelters,Paid Search,"1,329,589",3.74%
Non-Brand - Hiking Boots,Paid Search,"2,156,288",4.05%
Brand Terms - Phrase,Paid Search,"1,586,452",4.87%
Shopping - Core Catalog,Paid Search,"2,170,221",4.49%
GDN - Broad Reach,Display,"16,996,424",0.08%
Online Video - Product Films,Video,"1,976,928",0.62%
Creative Test - Winter Carousel,Paid Social,"46,324",7.07%
Past Purchasers - Accessories,Retargeting,"225,624",2.07%
Audience Extension - Publisher B,Display,"2,557,602",0.12%
GDN - Custom Intent,Display,"4,887,960",0.17%
Creative Test - UGC Summit Reel,Paid Social,"14,892",8.80%
Contextual - Trail & Travel,Display,"12,952,384",0.13%
Competitor Conquesting,Paid Search,"654,701",3.40%
CTV - Connected Living Room,Video,"4,493,655",0.25%
Dynamic Remarketing - Viewed,Retargeting,"647,722",1.16%
Non-Brand - Insulated Jackets,Paid Search,"1,148,938",4.10%
Video Retarget - 75pct Viewers,Video,"1,702,743",0.49%
Loyalty Tier - Lapsed 180d,Retargeting,"404,087",0.99%
YouTube - In-Feed Discovery,Video,"5,989,794",0.56%
Prospecting - Advantage+ Reach,Paid Social,"14,500,464",0.36%
Brand Terms - Exact,Paid Search,"2,986,381",5.32%
Site Visitors 14d,Retargeting,"856,195",1.14%
Creative Test - Founder Story,Paid Social,"27,078",8.82%
Shopping - Clearance,Paid Search,"389,927",4.68%
Lookalike 1% - Purchasers,Paid Social,"593,753",2.20%
Programmatic - PMP Outdoor,Display,"16,279,116",0.12%
RLSA - Cart Abandoners 7d,Retargeting,"93,869",2.43%
Audience Extension - Publisher A,Display,"3,329,459",0.09%
