order_id,order_date,bike_model,quantity
1,2024-01-01,Trailhawk 700,4
2,2024-01-01,Coastal Cruiser,2
3,2024-01-01,Coastal Cruiser,2
4,2024-01-01,Trailhawk 700,1
5,2024-01-01,Trailhawk 700,17
6,2024-01-01,Gravel Voyager,2
7,2024-01-01,Coastal Cruiser,4
8,2024-01-02,Summit Climber,1
9,2024-01-02,Kids Explorer 20,5
10,2024-01-03,Gravel Voyager,2
11,2024-01-03,Metro Commuter,3
12,2024-01-04,Kids Explorer 20,45
13,2024-01-05,Trailhawk 700,3
14,2024-01-05,Summit Climber,1
15,2024-01-05,Trailhawk 700,28
16,2024-01-05,Trailhawk 700,46
17,2024-01-06,Trailhawk 700,2
18,2024-01-06,Coastal Cruiser,2
19,2024-01-06,Metro Commuter,32
20,2024-01-07,Coastal Cruiser,1
21,2024-01-07,Trailhawk 700,4
22,2024-01-07,Kids Explorer 20,4
23,2024-01-07,Metro Commuter,1
24,2024-01-07,Metro Commuter,3
25,2024-01-08,Coastal Cruiser,2
26,2024-01-09,Kids Explorer 20,41
27,2024-01-09,Metro Commuter,1
28,2024-01-09,Coastal Cruiser,1
29,2024-01-09,Coastal Cruiser,2
30,2024-01-10,Coastal Cruiser,1
31,2024-01-10,Kids Explorer 20,5
32,2024-01-10,Summit Climber,4
33,2024-01-10,Trailhawk 700,4
34,2024-01-10,Kids Explorer 20,3
35,2024-01-11,Metro Commuter,1
36,2024-01-11,Metro Commuter,3
37,2024-01-12,Coastal Cruiser,4
38,2024-01-12,Gravel Voyager,5
39,2024-01-12,Coastal Cruiser,1
40,2024-01-12,Summit Climber,1
41,2024-01-12,Coastal Cruiser,1
42,2024-01-12,Coastal Cruiser,4
43,2024-01-13,Metro Commuter,1
44,2024-01-13,Trailhawk 700,4
45,2024-01-13,Trailhawk 700,1
46,2024-01-14,Trailhawk 700,4
47,2024-01-15,Trailhawk 700,1
48,2024-01-15,Coastal Cruiser,5
49,2024-01-15,Coastal Cruiser,1
50,2024-01-16,Kids Explorer 20,2
51,2024-01-16,Metro Commuter,1
52,2024-01-16,Kids Explorer 20,1
53,2024-01-16,Metro Commuter,2
54,2024-01-16,Trailhawk 700,1
55,2024-01-17,Kids Explorer 20,3
56,2024-01-17,Kids Explorer 20,1
57,2024-01-17,Kids Explorer 20,2
58,2024-01-17,Gravel Voyager,2
59,2024-01-17,Kids Explorer 20,1
60,2024-01-18,Coastal Cruiser,2
61,2024-01-18,Kids Explorer 20,2
62,2024-01-19,Gravel Voyager,44
63,2024-01-19,Trailhawk 700,1
64,2024-01-19,Summit Climber,1
65,2024-01-19,Gravel Voyager,3
66,2024-01-19,Gravel Voyager,3
67,2024-01-20,Gravel Voyager,1
68,2024-01-20,Summit Climber,2
69,2024-01-21,Trailhawk 700,24
70,2024-01-21,Summit Climber,1
71,2024-01-21,Kids Explorer 20,5
72,2024-01-21,Trailhawk 700,1
73,2024-01-21,Gravel Voyager,1
74,2024-01-22,Coastal Cruiser,1
75,2024-01-22,Coastal Cruiser,1
76,2024-01-22,Coastal Cruiser,2
77,2024-01-22,Metro Commuter,1
78,2024-01-23,Coastal Cruiser,1
79,2024-01-23,Summit Climber,2
80,2024-01-23,Trailhawk 700,1
81,2024-01-24,Trailhawk 700,1
82,2024-01-24,Metro Commuter,3
83,2024-01-24,Coastal Cruiser,2
84,2024-01-25,Metro Commuter,2
85,2024-01-26,Trailhawk 700,4
86,2024-01-26,Gravel Voyager,2
87,2024-01-26,Summit Climber,2
88,2024-01-27,Metro Commuter,4
89,2024-01-27,Summit Climber,1
90,2024-01-28,Trailhawk 700,4
91,2024-01-29,Gravel Voyager,2
